1;Аарон;{"name": "Аарон", "full": "Аарон", "diminutive": "", "sex": "м"}
2;Абад;{"name": "Абад", "full": "Абад", "diminutive": "", "sex": "м"}
3;Абай;{"name": "Абай", "full": "Абай", "diminutive": "", "sex": "м"}
4;Абдель;{"name": "Абдель", "full": "Абдель", "diminutive": "", "sex": "м"}
5;Абдукарим;{"name": "Абдукарим", "full": "Абдукарим", "diminutive": "", "sex": "м"}
6;Абдул;{"name": "Абдул", "full": "Абдул", "diminutive": "", "sex": "м"}
7;Абдулла;{"name": "Абдулла", "full": "Абдулла", "diminutive": "", "sex": "м"}
8;Абдурауф;{"name": "Абдурауф", "full": "Абдурауф", "diminutive": "", "sex": "м"}
9;Абдуррахман;{"name": "Абдуррахман", "full": "Абдуррахман", "diminutive": "", "sex": "м"}
10;Абдусалам;{"name": "Абдусалам", "full": "Абдусалам", "diminutive": "", "sex": "м"}
11;Абик;{"name": "Абик", "full": "Абик", "diminutive": "", "sex": "м"}
12;Абрам;{"name": "Абрам", "full": "Абрам", "diminutive": "", "sex": "м"}
13;Абрахам;{"name": "Абрахам", "full": "Абрахам", "diminutive": "", "sex": "м"}
14;Аброр;{"name": "Аброр", "full": "Аброр", "diminutive": "", "sex": "м"}
15;Абу;{"name": "Абу", "full": "Абу", "diminutive": "", "sex": "м"}
16;Абубакар;{"name": "Абубакар", "full": "Абубакар", "diminutive": "", "sex": "м"}
17;Абубакир;{"name": "Абубакир", "full": "Абубакир", "diminutive": "", "sex": "м"}
18;Абубакр;{"name": "Абубакр", "full": "Абубакр", "diminutive": "", "sex": "м"}
19;Ава;{"name": "Ава", "full": "Ава", "diminutive": "", "sex": "ж"}
20;Августин;{"name": "Августин", "full": "Августин", "diminutive": "", "sex": "м"}
21;Августина;{"name": "Августина", "full": "Августина", "diminutive": "", "sex": "ж"}
22;Авдей;{"name": "Авдей", "full": "Авдей", "diminutive": "", "sex": "м"}
23;Авдотья;{"name": "Авдотья", "full": "Авдотья", "diminutive": "", "sex": "ж"}
24;Аверьян;{"name": "Аверьян", "full": "Аверьян", "diminutive": "", "sex": "м"}
25;Авив;{"name": "Авив", "full": "Авив", "diminutive": "", "sex": "м"}
26;Авива;{"name": "Авива", "full": "Авива", "diminutive": "", "sex": "ж"}
27;Авраам;{"name": "Авраам", "full": "Авраам", "diminutive": "", "sex": "м"}
28;Аврелий;{"name": "Аврелий", "full": "Аврелий", "diminutive": "", "sex": "м"}
29;Аврелия;{"name": "Аврелия", "full": "Аврелия", "diminutive": "", "sex": "ж"}
30;Аврора;{"name": "Аврора", "full": "Аврора", "diminutive": "", "sex": "ж"}
31;Автандил;{"name": "Автандил", "full": "Автандил", "diminutive": "", "sex": "м"}
32;Агата;{"name": "Агата", "full": "Агата", "diminutive": "", "sex": "ж"}
33;Агафон;{"name": "Агафон", "full": "Агафон", "diminutive": "", "sex": "м"}
